
time 00h 05m 00s, episodes 19, frames 0.028M, mean epr -19.00
time 00h 10m 00s, episodes 40, frames 0.058M, mean epr -19.47
time 00h 15m 00s, episodes 62, frames 0.089M, mean epr -19.66
time 00h 20m 00s, episodes 82, frames 0.120M, mean epr -18.96
time 00h 25m 00s, episodes 103, frames 0.150M, mean epr -19.88
time 00h 30m 00s, episodes 124, frames 0.181M, mean epr -18.77
time 00h 35m 00s, episodes 144, frames 0.210M, mean epr -19.14
time 00h 40m 00s, episodes 165, frames 0.241M, mean epr -19.20
time 00h 45m 00s, episodes 187, frames 0.270M, mean epr -19.73
time 00h 50m 00s, episodes 209, frames 0.301M, mean epr -19.59
time 00h 55m 00s, episodes 229, frames 0.331M, mean epr -17.77
time 01h 00m 00s, episodes 249, frames 0.359M, mean epr -19.48
time 01h 05m 00s, episodes 269, frames 0.388M, mean epr -18.50
time 01h 10m 00s, episodes 288, frames 0.416M, mean epr -19.16
time 01h 15m 00s, episodes 306, frames 0.443M, mean epr -19.60
time 01h 20m 00s, episodes 327, frames 0.472M, mean epr -19.43
time 01h 25m 00s, episodes 347, frames 0.502M, mean epr -19.69
time 01h 30m 00s, episodes 367, frames 0.531M, mean epr -19.60
time 01h 35m 00s, episodes 387, frames 0.559M, mean epr -19.37
time 01h 40m 00s, episodes 407, frames 0.589M, mean epr -18.97
time 01h 45m 00s, episodes 427, frames 0.619M, mean epr -18.75
time 01h 50m 00s, episodes 447, frames 0.648M, mean epr -19.45
time 01h 55m 00s, episodes 466, frames 0.677M, mean epr -19.15
time 02h 00m 00s, episodes 488, frames 0.708M, mean epr -19.77
time 02h 05m 00s, episodes 507, frames 0.738M, mean epr -18.80
time 02h 10m 00s, episodes 526, frames 0.767M, mean epr -18.83
time 02h 15m 00s, episodes 547, frames 0.798M, mean epr -19.14
time 02h 20m 00s, episodes 568, frames 0.827M, mean epr -19.48
time 02h 25m 00s, episodes 585, frames 0.854M, mean epr -18.03
time 02h 30m 00s, episodes 605, frames 0.883M, mean epr -19.57
time 02h 35m 00s, episodes 624, frames 0.912M, mean epr -18.98
time 02h 40m 00s, episodes 644, frames 0.942M, mean epr -18.51
time 02h 45m 00s, episodes 663, frames 0.972M, mean epr -18.81

	1M frames: saved model

time 02h 50m 00s, episodes 682, frames 1.001M, mean epr -18.96
time 02h 55m 00s, episodes 702, frames 1.029M, mean epr -18.93
time 03h 00m 00s, episodes 722, frames 1.059M, mean epr -19.19
time 03h 05m 00s, episodes 739, frames 1.084M, mean epr -19.61
time 03h 10m 00s, episodes 758, frames 1.113M, mean epr -18.42
time 03h 15m 00s, episodes 777, frames 1.142M, mean epr -19.46
time 03h 20m 00s, episodes 796, frames 1.171M, mean epr -18.68
time 03h 25m 00s, episodes 815, frames 1.199M, mean epr -18.95
time 03h 30m 00s, episodes 835, frames 1.228M, mean epr -18.48
time 03h 35m 00s, episodes 854, frames 1.259M, mean epr -17.92
time 03h 40m 00s, episodes 874, frames 1.289M, mean epr -19.07
time 03h 45m 00s, episodes 893, frames 1.319M, mean epr -18.14
time 03h 50m 00s, episodes 913, frames 1.349M, mean epr -18.92
time 03h 55m 00s, episodes 933, frames 1.380M, mean epr -18.95
time 04h 00m 00s, episodes 953, frames 1.410M, mean epr -18.76
time 04h 05m 00s, episodes 972, frames 1.440M, mean epr -18.49
time 04h 10m 00s, episodes 990, frames 1.467M, mean epr -19.41
time 04h 15m 00s, episodes 1009, frames 1.495M, mean epr -18.82
time 04h 20m 00s, episodes 1027, frames 1.524M, mean epr -19.04
