participant_no,Play_0_dynamic_0,Play_0_dynamic_1,Play_0_dynamic_2,Play_0_dynamic_3,Play_0_static_0,Play_0_static_1,Play_0_static_2,Play_0_static_3,Play_0_static_4,Play_1_dynamic_0,Play_1_dynamic_1,Play_1_dynamic_2,Play_1_dynamic_3,Play_1_static_0,Play_1_static_1,Play_1_static_2,Play_1_static_3,Play_1_static_4,Play_2_dynamic_0,Play_2_dynamic_1,Play_2_dynamic_2,Play_2_dynamic_3,Play_2_static_0,Play_2_static_1,Play_2_static_2,Play_2_static_3,Play_2_static_4,Play_3_dynamic_0,Play_3_dynamic_1,Play_3_dynamic_2,Play_3_dynamic_3,Play_3_static_0,Play_3_static_1,Play_3_static_2,Play_3_static_3,Play_3_static_4,Play_4_dynamic_0,Play_4_dynamic_1,Play_4_dynamic_2,Play_4_dynamic_3,Play_4_static_0,Play_4_static_1,Play_4_static_2,Play_4_static_3,Play_4_static_4,Watch_0_dynamic_0,Watch_0_dynamic_1,Watch_0_dynamic_2,Watch_0_dynamic_3,Watch_0_static_0,Watch_0_static_1,Watch_0_static_2,Watch_0_static_3,Watch_0_static_4,Watch_1_dynamic_0,Watch_1_dynamic_1,Watch_1_dynamic_2,Watch_1_dynamic_3,Watch_1_static_0,Watch_1_static_1,Watch_1_static_2,Watch_1_static_3,Watch_1_static_4,Watch_2_dynamic_0,Watch_2_dynamic_1,Watch_2_dynamic_2,Watch_2_dynamic_3,Watch_2_static_0,Watch_2_static_1,Watch_2_static_2,Watch_2_static_3,Watch_2_static_4,Watch_3_dynamic_0,Watch_3_dynamic_1,Watch_3_dynamic_2,Watch_3_dynamic_3,Watch_3_static_0,Watch_3_static_1,Watch_3_static_2,Watch_3_static_3,Watch_3_static_4
8,167,24,49,801,1.0,171,536,259,74,115,23.0,73,833,4,142,539,283,76,143,45,20,841,4.0,172,489,165,219,156,20.0,80,784,12.0,145,562,293,28,146.0,27.0,63.0,812,,172.0,491.0,266.0,119,116,43,64,299,8.0,106,254,146,8,69,42,51,360,22.0,110,208,168,14,55,38,25,404,4.0,114,185,128,91.0,116,33.0,29,344,13.0,87,266.0,136,20
1,177,30,21,825,5.0,190,342,121,395,157,20.0,25,849,22,140,426,165,298,124,35,35,859,20.0,141,342,149,401,114,20.0,56,849,18.0,191,395,173,262,114.0,24.0,62.0,851,8.0,175.0,403.0,285.0,180,94,63,13,352,,120,313,79,10,81,51,47,343,,128,218,131,45,81,43,37,361,,112,236,149,25.0,99,36.0,46,341,6.0,127,235.0,143,11
6,249,21,158,608,62.0,125,422,406,21,337,37.0,129,543,28,145,437,408,28,279,26,165,578,42.0,155,391,434,26,297,43.0,137,568,83.0,152,420,365,25,428.0,21.0,63.0,540,124.0,202.0,483.0,221.0,22,110,30,94,288,24.0,111,190,186,11,72,17,57,376,48.0,59,284,118,13,89,13,63,357,41.0,78,235,168,,102,23.0,63,334,88.0,103,183.0,141,7
7,233,62,103,643,17.0,223,447,294,60,245,21.0,114,664,42,184,379,347,92,186,48,113,702,22.0,193,406,342,86,254,65.0,73,659,52.0,266,439,234,60,,,,1018,,,,,1018,120,27,113,262,23.0,58,207,228,6,70,39,65,348,6.0,99,217,197,3,101,17,74,330,30.0,95,201,169,27.0,16,,22,484,47.0,15,,32,428
9,145,40,152,709,26.0,167,305,401,147,174,40.0,94,740,7,175,377,382,107,144,31,102,768,21.0,169,339,355,161,144,59.0,111,731,33.0,231,363,323,95,138.0,40.0,115.0,757,8.0,161.0,436.0,341.0,104,75,47,87,313,27.0,107,182,202,4,53,60,36,373,13.0,149,177,138,45,53,56,34,379,22.0,119,148,169,64.0,65,83.0,45,329,,166,151.0,141,64
10,289,32,45,682,5.0,145,350,121,427,235,47.0,112,657,8,156,372,276,239,250,47,119,636,2.0,164,356,189,341,341,67.0,125,518,3.0,180,471,282,115,252.0,51.0,125.0,622,11.0,168.0,407.0,283.0,181,93,52,68,309,,102,234,149,37,62,20,44,396,4.0,60,285,123,50,53,23,28,418,13.0,85,209,137,78.0,94,45.0,74,309,2.0,102,179.0,208,31
11,84,8,151,793,21.0,123,325,528,39,114,,140,792,3,83,296,648,16,62,1,197,787,4.0,38,310,682,13,80,,101,867,6.0,62,245,510,225,,,,1048,,,,,1048,42,32,85,363,4.0,63,159,284,12,25,47,52,398,,88,167,259,8,25,51,41,405,,125,184,211,2.0,7,2.0,10,503,,42,121.0,60,299
5,101,16,42,885,22.0,69,191,106,656,19,6.0,1,1026,9,28,40,5,970,35,2,2,1014,,29,43,19,962,36,3.0,5,1007,9.0,26,51,8,957,46.0,12.0,16.0,972,12.0,38.0,65.0,32.0,899,112,50,94,266,7.0,120,220,159,16,101,34,34,353,27.0,91,216,125,63,96,47,40,339,26.0,116,171,137,72.0,104,39.0,52,327,11.0,90,235.0,130,56
2,134,17,121,775,,106,426,335,180,142,10.0,138,749,3,65,385,510,76,124,5,45,879,6.0,100,383,345,219,170,15.0,106,754,,139,466,400,40,122.0,14.0,48.0,855,9.0,204.0,449.0,328.0,49,76,63,65,318,6.0,128,189,190,9,50,52,78,342,16.0,106,180,200,20,51,34,57,380,13.0,83,175,192,59.0,35,32.0,102,353,7.0,95,143.0,261,16
3,214,35,98,703,,197,402,262,189,203,36.0,124,688,18,163,377,315,178,336,39,99,578,14.0,189,424,313,112,114,282.0,32,610,10.0,607,197,106,118,25.0,75.0,,934,1.0,133.0,516.0,,384,99,47,76,300,,109,194,190,29,66,32,103,321,3.0,71,136,289,23,91,65,36,330,8.0,158,197,125,34.0,79,46.0,53,344,10.0,105,213.0,130,64
